"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"KHJ","ATLAS PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-6,5686","-8,0982","3,5798","7,5358","12,0059","-","-"
"TLZ","ATA PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-2,0595","-2,3762","15,0728","11,9900","11,8901","132,5854","934,1644"
"GKV","GARANTİ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-4,5667","-6,9072","11,3361","10,0203","11,5752","165,0099","-"
"RPI","ROTA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-5,6567","-7,0877","10,6837","7,0264","10,3355","-","-"
"OHK","OYAK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-4,7389","-7,6505","11,2687","9,0914","8,9189","-","-"
"KTS","KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-3,0039","-6,5631","8,4607","4,5047","8,2459","180,1009","475,5739"
"KPU","KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-3,7549","-7,3203","6,4174","1,0823","7,5742","-","-"
"HFI","HEDEF PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-4,8003","-15,8812","0,3690","6,0507","6,5285","-","-"
"RKH","RE-PIE PORTFÖY KATILIM HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","0,0297","-8,6359","4,8321","-11,3099","-9,2120","-","-"
"KH1","AK PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-4,8859","-","-","-","-","-","-"
"TLK","AKTİF PORTFÖY PARA PİYASASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,1399","10,2784","23,0484","-","-","-","-"
"CKF","ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","0,1275","9,8189","24,7447","-","-","-","-"
"PPG","ALBARAKA PORTFÖY PARA PİYASASI KATILIM FONU","Katılım Şemsiye Fonu","3,0837","9,8646","-","-","-","-","-"
"KLS","ALLBATROSS PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,5118","2,2456","7,7157","-","-","-","-"
"RCV","AZİMUT PORTFÖY BİRİNCİ ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","0,6096","2,5332","18,2777","-","-","-","-"
"CVL","A1 CAPİTAL PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","-","-","-","-","-","-","-"
"BCO","BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","-2,4585","8,5004","-","-","-","-","-"
"BTK","BV PORTFÖY TEKNOLOJİ KATILIM FONU","Katılım Şemsiye Fonu","-3,5958","-","-","-","-","-","-"
"DKL","DENİZ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,6026","4,9669","11,9025","-","-","-","-"
"VRK","DENİZ PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","2,3435","-","-","-","-","-","-"
"DNP","DENİZ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON","Serbest Şemsiye Fonu","3,2178","-","-","-","-","-","-"
"EPI","EMAA BLUE PORTFÖY İNŞAAT SEKTÖRÜ KATILIM FONU","Katılım Şemsiye Fonu","-","-","-","-","-","-","-"
